City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
86,Jiuquan,39.7432,98.5174,82.22,24,64,13.04,broken clouds
87,Bluff,-46.6,168.3333,48.79,94,100,6.78,light rain
88,Khatanga,71.9667,102.5,41.43,63,11,3.85,few clouds
89,Avarua,-21.2078,-159.775,75.25,88,75,13.8,broken clouds
90,Albany,42.6001,-73.9662,81.95,65,87,2.53,overcast clouds
91,Sinnamary,5.3833,-52.95,85.71,66,100,9.93,overcast clouds
92,Berlevag,70.8578,29.0864,71.55,64,40,13.8,scattered clouds
93,Buala,-8.145,159.5921,78.84,84,100,7.72,overcast clouds
94,Bakchar,57.0186,82.0711,58.32,62,100,4.72,overcast clouds
95,Hollola,61.05,25.4333,77.65,49,51,14.47,broken clouds
96,Sitka,57.0531,-135.33,55.29,94,100,3.44,overcast clouds
97,Vaini,-21.2,-175.2,71.46,72,8,19.98,clear sky
98,Hilo,19.7297,-155.09,74.28,68,0,6.91,clear sky
99,Vila Franca Do Campo,37.7167,-25.4333,73.81,64,0,4.56,clear sky
100,San Juan,-31.5375,-68.5364,57.31,19,2,1.57,clear sky
101,Sistranda,63.7256,8.834,57.16,83,100,9.22,overcast clouds
102,Freistadt,48.511,14.5045,63.41,92,100,7.43,overcast clouds
103,Turukhansk,65.8167,87.9833,45.21,95,100,6.64,overcast clouds
104,Gazanjyk,39.2446,55.5154,91.6,13,0,20.71,clear sky
105,Yellowknife,62.456,-114.3525,57.72,94,20,11.5,few clouds
106,Samarai,-10.6167,150.6667,78.13,80,71,11.54,broken clouds
107,Grahamstown,-33.3042,26.5328,45.95,71,59,25.26,light rain
108,Paidha,2.4167,30.9855,69.62,81,40,4.97,moderate rain
109,Thompson,55.7435,-97.8558,68.16,77,20,6.91,few clouds
110,Bengkulu,-3.8004,102.2655,76.98,90,100,5.19,overcast clouds
111,Emerald,-23.5333,148.1667,55.35,59,0,13.29,clear sky
112,Cherskiy,68.75,161.3,54.18,48,0,11.32,clear sky
113,Lavrentiya,65.5833,-171.0,41.88,89,62,8.3,broken clouds
114,Sao Joao Da Barra,-21.6403,-41.0511,66.29,71,100,19.1,overcast clouds
115,Tashtyp,52.7939,89.8983,44.24,95,100,4.12,overcast clouds
116,Ribeira Grande,38.5167,-28.7,77.4,78,40,4.61,scattered clouds
117,Seddon,-37.8068,144.8916,48.61,84,75,2.3,broken clouds
118,Castro,-24.7911,-50.0119,49.37,68,100,12.73,overcast clouds
119,Borazjan,29.2666,51.2159,107.19,21,0,9.26,clear sky
120,Kruisfontein,-34.0033,24.7314,53.89,62,31,22.59,light rain
121,Chuy,-33.6971,-53.4616,51.96,53,2,7.27,clear sky
122,Charyshskoye,51.3978,83.5598,47.44,85,8,2.48,clear sky
123,Arona,28.0996,-16.681,80.69,55,0,10.36,clear sky
124,Kandrian,-6.2167,149.55,77.36,88,78,13.65,light rain
125,Georgetown,5.4112,100.3354,86.9,82,40,2.3,light rain
126,Bud,39.447,-86.1758,75.22,86,100,7.27,overcast clouds
127,Plastun,44.7561,136.2939,60.76,67,0,6.73,clear sky
128,Puerto Ayora,-0.7393,-90.3518,71.56,98,98,5.01,light rain
129,College,64.8569,-147.8028,49.95,81,75,9.22,haze
130,Oranjestad,12.524,-70.027,85.95,70,20,20.71,few clouds
131,San Vicente De Canete,-13.0751,-76.3835,63.05,75,54,4.32,broken clouds
132,Dunedin,-45.8742,170.5036,52.81,85,100,3.53,overcast clouds
133,Bundaberg,-24.85,152.35,53.22,92,5,6.24,clear sky
134,Port Hedland,-20.3167,118.5667,68.05,34,0,5.75,clear sky
135,Pisco,-13.7,-76.2167,59.05,82,100,4.61,mist
136,Neuquen,-38.9516,-68.0591,53.49,58,0,5.75,clear sky
137,Fuyu,45.1833,124.8167,60.73,68,39,9.51,scattered clouds
138,Umba,66.6871,34.3429,70.03,71,90,5.99,light rain
139,Pula,44.8683,13.8481,73.96,78,20,9.22,few clouds
140,Novosheshminsk,55.0651,51.2338,74.93,42,0,6.8,clear sky
141,Nongan,44.382,125.1685,61.09,77,45,8.23,scattered clouds
142,Ghanzi,-21.5667,21.7833,74.59,9,19,14.05,few clouds
143,Muskogee,35.5834,-95.3336,80.35,69,0,9.22,clear sky
144,Chumikan,54.7183,135.315,52.34,90,100,11.21,light rain
145,Unai,-16.3575,-46.9061,79.59,34,0,13.98,clear sky
146,Los Llanos De Aridane,28.6585,-17.9182,73.13,85,75,13.8,broken clouds
147,Paita,-5.0892,-81.1144,64.78,78,85,10.36,overcast clouds
148,Touros,-5.1989,-35.4608,83.12,56,8,20.65,clear sky
149,Yangliuqing,39.1375,116.9997,78.75,67,48,8.28,scattered clouds
150,Aksarka,66.5606,67.7975,59.41,42,16,2.19,few clouds
151,Boa Vista,2.8197,-60.6733,87.78,58,20,4.61,few clouds
152,Saskylakh,71.9167,114.0833,43.56,59,91,6.62,overcast clouds
153,Barrow,71.2906,-156.7887,30.22,93,100,10.36,overcast clouds
154,Bithur,26.6333,80.2833,84.94,74,59,9.17,light rain
155,Necochea,-38.5473,-58.7368,56.43,42,100,16.4,overcast clouds
156,Saldanha,-33.0117,17.9442,60.85,61,28,14.36,scattered clouds
157,Tufanganj,26.3167,89.6667,85.98,72,85,1.99,overcast clouds
158,Alyangula,-13.8483,136.4192,68.0,74,0,10.33,clear sky
159,Loa Janan,-0.583,117.095,74.61,95,75,2.51,broken clouds
160,Cheremukhovo,60.3484,59.9851,69.12,87,60,2.46,light rain
161,La Ronge,55.1001,-105.2842,66.45,72,75,5.75,broken clouds
162,Missoula,47.0166,-113.8009,60.1,71,17,1.16,few clouds
163,Alofi,-19.0595,-169.9187,62.49,100,17,1.14,few clouds
164,Praia Da Vitoria,38.7333,-27.0667,79.05,83,75,5.08,broken clouds
165,Anadyr,64.75,177.4833,41.5,86,0,4.47,clear sky
166,Havre-Saint-Pierre,50.2334,-63.5986,73.76,68,0,4.61,clear sky
167,Aklavik,68.2191,-135.0107,41.22,87,100,2.37,overcast clouds
168,Port Elizabeth,-33.918,25.5701,56.1,88,75,23.02,light rain
169,Najran,17.4924,44.1277,101.05,13,94,14.43,overcast clouds
170,Tulum,20.2167,-87.4667,83.05,79,18,7.83,few clouds
171,Victoria,22.2855,114.1577,84.33,88,24,11.01,few clouds
172,Carlow,52.8408,-6.9261,69.98,45,68,17.49,broken clouds
173,Hofn,64.2539,-15.2082,50.58,83,62,2.55,broken clouds
174,Miyang,24.4042,103.4428,67.15,94,2,3.8,clear sky
175,Smoky Lake,54.1169,-112.4686,61.38,82,100,5.75,overcast clouds
176,Lebu,-37.6167,-73.65,51.89,87,14,17.6,few clouds
177,Ardakan,32.31,54.0175,93.49,6,0,20.13,clear sky
178,Ous,60.9058,61.5186,68.67,70,100,5.01,overcast clouds
179,Sur,22.5667,59.5289,90.81,59,100,2.46,overcast clouds
180,Codrington,-38.2667,141.9667,40.39,74,99,5.66,overcast clouds
181,San Rafael,-34.6177,-68.3301,60.64,19,2,5.03,clear sky
182,Flinders,-34.5833,150.8552,54.18,76,100,7.0,overcast clouds
183,Pevek,69.7008,170.3133,46.02,58,9,10.92,clear sky
184,Kieta,-6.2167,155.6333,78.35,84,99,5.21,overcast clouds
185,Port Hardy,50.6996,-127.4199,53.78,100,100,4.61,mist
186,Saint-Augustin,51.226,-58.6502,60.55,86,100,12.91,overcast clouds
187,Taltal,-25.4,-70.4833,61.14,67,8,4.36,clear sky
188,Airai,-8.9266,125.4092,54.19,86,13,4.94,few clouds
189,Soignies,50.579,4.0713,78.57,45,40,12.66,scattered clouds
190,Malindi,-3.2175,40.1191,78.96,69,20,18.41,few clouds
191,Kysyl-Syr,63.8986,122.7617,44.78,97,100,5.86,light rain
192,Karratha,-20.7377,116.8463,71.87,49,0,6.15,clear sky
193,Kalabo,-14.97,22.6814,83.82,9,0,8.25,clear sky
194,Bethel,41.3712,-73.414,86.14,64,0,1.01,clear sky
195,Selfoss,63.9331,-20.9971,49.05,79,60,13.82,broken clouds
196,Neiafu,-18.65,-173.9833,73.38,71,3,9.37,light rain
197,Fairbanks,64.8378,-147.7164,49.96,81,100,9.22,haze
198,Barcelona,41.3888,2.159,92.8,59,20,19.57,few clouds
199,Lebanon,36.2081,-86.2911,78.19,85,100,9.22,overcast clouds
200,Salinopolis,-0.6136,-47.3561,85.75,63,43,7.31,scattered clouds
201,Mayumba,-3.432,10.6554,75.24,76,73,8.61,broken clouds
202,Mongoumba,3.6415,18.5936,86.43,58,90,3.02,overcast clouds
203,Teahupoo,-17.8333,-149.2667,64.36,81,79,14.41,light rain
204,Bar Harbor,44.3876,-68.2039,81.34,62,0,5.75,clear sky
205,Honiara,-9.4333,159.95,77.49,84,100,6.26,overcast clouds
206,Charters Towers,-20.1,146.2667,58.42,80,0,7.63,clear sky
207,Ailigandi,9.2333,-78.0167,82.29,79,99,3.29,overcast clouds
208,Staryy Nadym,65.6118,72.6842,51.42,58,27,12.68,scattered clouds
209,Lazaro Cardenas,17.9583,-102.2,78.76,83,61,5.64,broken clouds
210,San Quintin,30.4833,-115.95,67.69,86,17,3.83,few clouds
211,Chapais,49.7834,-74.8492,69.58,74,64,8.1,broken clouds
212,Laguna,38.421,-121.4238,72.97,76,0,4.61,clear sky
213,Kjollefjord,70.9457,27.3465,66.25,72,85,2.3,overcast clouds
214,Beloha,-25.1667,45.05,81.03,37,5,16.98,clear sky
215,Kishtwar,33.3167,75.7667,68.09,93,24,2.8,few clouds
216,Souillac,-20.5167,57.5167,73.78,73,75,12.66,broken clouds
217,Kahului,20.8947,-156.47,78.84,75,0,13.8,clear sky
218,Imeni Poliny Osipenko,52.4201,136.4853,52.0,92,100,14.65,light rain
219,Soe,-9.8607,124.284,63.18,81,35,7.78,scattered clouds
220,Vincennes,48.85,2.4333,79.56,45,0,8.05,clear sky
221,Hukuntsi,-24.0,21.75,68.72,14,84,13.65,broken clouds
222,Albert Town,18.2943,-77.5424,81.1,72,8,5.59,clear sky
223,Tiksi,71.6872,128.8694,40.73,93,100,14.99,overcast clouds
224,Verkhnevilyuysk,63.4453,120.3167,45.52,95,100,3.69,overcast clouds
225,Camacha,33.0833,-16.3333,74.62,65,20,14.97,few clouds
226,Mar Del Plata,-38.0023,-57.5575,56.95,45,0,20.71,clear sky
227,Lata,40.1629,-8.3327,70.81,18,0,12.68,clear sky
228,Yavaros,26.7,-109.5167,83.44,80,100,15.21,overcast clouds
229,San Isidro,-12.1167,-77.05,63.01,85,100,5.75,overcast clouds
230,Batemans Bay,-35.7167,150.1833,45.39,80,10,7.54,clear sky
231,Gat,31.61,34.7642,90.39,17,0,11.1,clear sky
232,Kaitangata,-46.2817,169.8464,47.55,97,100,3.06,moderate rain
233,Beringovskiy,63.05,179.3167,43.74,68,0,4.09,clear sky
234,Mount Gambier,-37.8333,140.7667,39.25,82,79,2.98,broken clouds
235,Marrakesh,31.6315,-8.0083,107.67,12,75,10.36,broken clouds
236,Iqaluit,63.7506,-68.5145,44.33,87,75,8.05,broken clouds
237,Dotnuva,55.35,23.9,76.89,73,100,11.41,overcast clouds
238,Shima,24.4478,117.8111,84.22,84,97,2.95,overcast clouds
239,Mecca,21.4267,39.8261,101.01,24,4,16.8,clear sky
240,Lahaina,20.8783,-156.6825,78.8,83,2,8.16,clear sky
241,Marzuq,14.4,46.4667,89.53,39,78,14.43,broken clouds
242,Nikel,69.4128,30.222,71.78,64,100,14.52,overcast clouds
243,Kabare,-2.4683,28.8242,70.12,62,100,3.51,light rain
